Latitude,Longitude,As_ppb,As
24.05416667,67.57916667,0,0
24.12916667,67.45416667,38.29740101,1
24.2625,68.2625,0,0
24.35416667,67.62083333,18.17656284,1
24.35416667,68.2625,20.68773756,1
24.35416667,68.27083333,223.9466603,1
24.3625,70.75416667,0,0
24.54583333,67.62916667,78.56119701,1
24.60416667,68.07916667,10,0
24.65416667,68.5375,0,0
24.65416667,68.8375,193.6817916,1
24.65416667,68.84583333,150,1
24.6625,68.8375,10,0
24.6625,68.85416667,15.85458436,1
24.69583333,70.17083333,0,0
24.72083333,68.25416667,100,1
24.72083333,68.2625,158.2199736,1
24.72916667,68.25416667,163.6791688,1
24.72916667,68.2625,195.6954002,1
24.72916667,68.27083333,100,1
24.72916667,69.79583333,26.40437921,1
24.7375,67.5875,100,1
24.7375,68.25416667,159.8620283,1
24.74583333,67.9125,100,1
24.74583333,67.92083333,39.14686297,1
24.74583333,67.92916667,100,1
24.75416667,67.92083333,250,1
24.7625,68.8125,153.2357989,1
24.77916667,68.97083333,200,1
24.7875,68.97083333,250,1
24.8125,66.97916667,0,0
24.82916667,67.12916667,0,0
24.8375,67.35416667,21.84220285,1
24.84583333,67.05416667,0,0
24.84583333,67.19583333,0,0
24.85416667,67.02083333,0,0
24.85416667,67.05416667,0,0
24.8625,67.0125,80,1
24.87083333,66.99583333,0,0
24.87916667,67.14583333,0,0
24.87916667,68.8125,250,1
24.87916667,68.82083333,200,1
24.8875,68.82083333,5.865718826,0
24.89583333,67.19583333,0,0
24.90416667,67.05416667,0,0
24.90416667,67.2375,250,1
24.9125,67.2375,250,1
24.92083333,66.9625,0,0
24.92916667,67.02916667,0,0
24.92916667,67.0625,0,0
24.9375,67.02083333,0,0
24.9375,68.2625,0,0
24.94583333,67.15416667,9.688215984,0
24.95416667,66.9625,35.29938306,1
24.97083333,68.67916667,0,0
24.97083333,69.29583333,29.39736831,1
24.99583333,67.0625,0,0
25.02916667,66.87916667,49.69140082,1
25.04583333,61.74583333,0,0
25.04583333,68.65416667,58.39485964,1
25.04583333,68.6625,250,1
25.1125,68.52083333,158.2199736,1
25.1125,70.24583333,0,0
25.12083333,66.72916667,0,0
25.12083333,68.52916667,173.2153839,1
25.12083333,68.5375,59.64317197,1
25.12916667,67.22083333,18.38608537,1
25.12916667,68.52916667,250,1
25.12916667,68.5375,193.6817916,1
25.15416667,69.1125,39.19950248,1
25.17916667,69.5625,122.8749474,1
25.2125,64.62916667,0,0
25.2625,63.4625,0,0
25.27916667,69.39583333,9.148891565,0
25.2875,69.24583333,10,0
25.3625,64.59583333,100,1
25.3625,67.8375,0,0
25.3625,68.30416667,0,0
25.3625,69.72916667,0,0
25.37916667,68.3625,250,1
25.37916667,68.37083333,27.86093763,1
25.37916667,68.37916667,250,1
25.39583333,68.3375,0,0
25.4125,68.27083333,8,0
25.4125,69.37083333,250,1
25.45416667,68.7125,250,1
25.45416667,68.72083333,250,1
25.4625,68.7125,5.307993549,0
25.4625,68.72083333,198.9105134,1
25.47083333,68.72916667,200,1
25.5125,69.37916667,0,0
25.52083333,68.62083333,150,1
25.52083333,69.0125,3,0
25.5625,68.4375,150,1
25.5875,68.4375,150,1
25.59583333,68.4375,165.105234,1
25.59583333,68.44583333,0,0
25.60416667,68.44583333,131.0560865,1
25.60416667,68.45416667,100,1
25.6375,68.59583333,0,0
25.6875,66.4875,0,0
25.6875,69.07916667,0,0
25.77916667,68.85416667,500,1
25.79583333,66.6125,0,0
25.79583333,68.8625,15,1
25.8125,68.42083333,4.916079783,0
25.82083333,69.37916667,400,1
25.8625,66.45416667,0,0
25.87083333,68.34583333,250,1
25.8875,67.29583333,0,0
25.89583333,68.52083333,0.615394266,0
25.89583333,68.52916667,200,1
25.9125,68.22916667,0,0
25.92083333,68.62083333,350,1
25.9625,68.37083333,0,0
26.00416667,63.05416667,0,0
26.00416667,63.0625,0,0
26.00416667,63.87916667,0,0
26.02916667,68.80416667,475,1
26.0375,63.07916667,0,0
26.04583333,68.9375,10,0
26.07083333,62.7125,0,0
26.1125,62.0375,8.110433579,0
26.12916667,68.2625,30,1
26.1375,68.27083333,100,1
26.14583333,68.27083333,100,1
26.17083333,63.50416667,0,0
26.22916667,66.3125,0,0
26.2375,68.40416667,0,0
26.29583333,67.59583333,63.3,1
26.3125,65.6625,0,0
26.32083333,68.32083333,0,0
26.39583333,65.2125,0,0
26.4125,67.8625,168.2186519,1
26.42083333,67.85416667,368.9945946,1
26.42083333,67.8625,77.98687217,1
26.42916667,67.8625,168.3906581,1
26.44583333,67.8125,157.3666632,1
26.45416667,65.22916667,0,0
26.45416667,67.85416667,408,1
26.47083333,67.84583333,110,1
26.50416667,67.97083333,50,1
26.5875,67.72916667,141,1
26.6125,67.6125,161,1
26.6375,67.75416667,137.9100428,1
26.65416667,63.22083333,0,0
26.6625,67.99583333,250,1
26.6625,68.00416667,100,1
26.67083333,68.12916667,10,0
26.6875,67.6125,163.311178,1
26.6875,68.29583333,119.4,1
26.69583333,67.6125,15,1
26.69583333,67.62083333,184,1
26.7125,67.77083333,162.5388343,1
26.72083333,67.77083333,50,1
26.72083333,67.77916667,104,1
26.72916667,67.77083333,185.9154509,1
26.72916667,67.77916667,154.3120144,1
26.72916667,67.7875,117,1
26.7375,67.50416667,143.0416606,1
26.7375,67.7875,161.7051377,1
26.74583333,67.77916667,111,1
26.77083333,67.72083333,318,1
26.7875,67.69583333,126,1
26.80416667,67.72916667,239,1
26.82083333,67.74583333,136.6072717,1
26.82916667,67.7875,130,1
26.82916667,68.47916667,0,0
26.8375,67.75416667,149,1
26.8375,67.80416667,137,1
26.9125,68.1875,9.049875621,0
26.9125,68.19583333,250,1
26.9625,64.10416667,0,0
26.9625,67.6875,138.1610032,1
26.97916667,66.12083333,0,0
27.0375,67.84583333,138,1
27.05416667,68.2125,100,1
27.0625,68.20416667,17.25161054,1
27.0625,68.2125,100,1
27.07083333,68.60416667,10,0
27.0875,67.72916667,135.3977415,1
27.0875,67.92083333,214.5,1
27.0875,68.9625,124.9,1
27.09583333,67.7375,9.76568623,0
27.17916667,67.8125,0,0
27.17916667,67.82083333,154.8663043,1
27.17916667,67.95416667,213,1
27.1875,67.8125,176.9441132,1
27.1875,67.82083333,155.8023916,1
27.2625,68.8375,500,1
27.30416667,68.39583333,141.6378732,1
27.30416667,68.40416667,135.8646201,1
27.3125,68.3875,240,1
27.3125,68.39583333,185.9191415,1
27.3375,66.37083333,9.049875621,0
27.3375,68.54583333,141.7760484,1
27.34583333,68.52083333,161,1
27.34583333,68.52916667,133.7219359,1
27.34583333,68.5375,257.6735394,1
27.35416667,68.52083333,10,0
27.35416667,68.52916667,147.726692,1
27.35416667,68.5375,183.3257985,1
27.3625,68.52083333,178.516016,1
27.3625,68.52916667,118,1
27.37083333,68.09583333,46.54667136,1
27.37916667,67.9125,19.0497073,1
27.40416667,65.1375,2.31662479,0
27.44583333,67.79583333,24.12537373,1
27.44583333,68.1875,0,0
27.4875,69.1125,100,1
27.52083333,69.04583333,27.2186135,1
27.52916667,68.74583333,100,1
27.52916667,68.75416667,173.6603262,1
27.55416667,68.20416667,275,1
27.5625,68.55416667,143.12,1
27.5875,68.6125,103.1165693,1
27.5875,68.62083333,158.6,1
27.59583333,68.50416667,175.827939,1
27.59583333,68.5625,183.3410356,1
27.59583333,68.60416667,467.3806422,1
27.59583333,68.62083333,162.0984475,1
27.6125,68.6125,129.7,1
27.62916667,68.59583333,15,1
27.6625,68.87083333,126,1
27.67083333,68.6875,174.1698884,1
27.67916667,66.1875,0,0
27.67916667,68.90416667,100,1
27.67916667,68.9125,100,1
27.6875,68.84583333,0,0
27.6875,68.89583333,100,1
27.70416667,68.84583333,126.0416917,1
27.70416667,68.85416667,100,1
27.7125,64.87083333,0,0
27.7125,68.8375,250,1
27.72916667,64.79583333,86.74062059,1
27.7625,67.07083333,10,0
27.7625,68.09583333,0,0
27.79583333,66.6125,0,0
27.79583333,68.29583333,375,1
27.8375,69.07916667,0,0
27.84583333,67.89583333,0,0
27.84583333,69.4125,0,0
27.85416667,69.1125,215.448848,1
27.8625,68.70416667,15,1
27.90416667,68.50416667,240,1
27.9625,68.64583333,400,1
27.97083333,67.64583333,10,0
27.99583333,69.30416667,158.2199736,1
27.99583333,69.3125,116.5475094,1
28.00416667,67.84583333,0,0
28.00416667,68.72083333,350,1
28.00416667,69.30416667,158.2199736,1
28.00416667,69.3125,250,1
28.00416667,69.32083333,158.2199736,1
28.0125,69.3125,17.30243437,1
28.02083333,65.55416667,300,1
28.02916667,67.97916667,250,1
28.05416667,67.97083333,0,0
28.05416667,69.37083333,100,1
28.0625,67.94583333,250,1
28.0625,67.97916667,250,1
28.0625,68.97916667,500,1
28.07083333,67.09583333,46.90841357,1
28.07083333,67.9875,250,1
28.10416667,68.02916667,0,0
28.15416667,69.72916667,100,1
28.1625,69.72083333,250,1
28.1625,69.72916667,173.3944993,1
28.17083333,67.87083333,10,0
28.17083333,69.7375,100,1
28.1875,68.72083333,0,0
28.22083333,69.10416667,2.65930571,0
28.2375,68.77083333,200,1
28.2375,69.1875,0,0
28.27916667,68.45416667,163.6093415,1
28.2875,67.44583333,68.3674865,1
28.2875,68.09583333,36.40056621,1
28.29583333,70.12083333,135,1
28.30416667,70.1375,5,0
